name_zh,name_en,industry,sub_industry,hq_location,size_signal,dev_team_signal,overseas_signal,digital_stage,ai_adoption,hypothesis,source_url
赛维时代科技股份有限公司,"Sailvan Times Co., Ltd.",跨境电商,亚马逊大卖/品牌出海（服饰配饰为主）,深圳,数千人（2022年营收约49亿元，A股上市）,4,5,4,3,自我定位'技术驱动的出口跨境品牌电商'，有自研IT系统与AI运营投入，对多平台订单/选品/营销类开发者工具接受度高,http://static.cninfo.com.cn/finalpage/2023-07-11/1217264609.PDF
傲基（深圳）跨境商务股份有限公司,"AuGroup Technology Co., Ltd.",跨境电商,亚马逊大卖（家具家居）+跨境物流,深圳,数千人（2023年营收86.8亿元，2024年港股上市2519.HK）,4,5,4,,家具家居类百亿级大卖兼营物流解决方案，供应链/仓储/多平台运营系统自研需求强，是开发者工具的潜在大客,https://www.jiemian.com/article/11008996.html
深圳市易佰网络科技有限公司,"Yibai Network Technology Co., Ltd.",跨境电商,亚马逊大卖（泛品类铺货+精品）,深圳,2000+人,4,5,4,4,自研ERP与'易佰云'智能管理平台，并与华为云共建'易智万象'视频生成模型，AI落地意愿强，适合切入营销内容/数据工具,https://www.yibainetwork.com/about
棒谷科技股份有限公司,"Banggood Technology Co., Ltd.",跨境电商,独立站自营平台（Banggood/Newchic）+第三方平台大卖,广州,数千人（高峰期5000+，近年有收缩）,4,5,4,,自营综合独立站起家、SKU数十万级，搜索推荐/广告投放/供应链系统均为自研，降本增效期对提升人效的开发工具敏感,https://supplier.alibaba.com/article/CTG5UGTTP3U.htm
广州希音国际进出口有限公司（Cider）,Cider,跨境电商,独立站DTC（Z世代快时尚女装）,广州,数百至数千人（估值超10亿美元独角兽）,4,5,5,,B轮融资明确用于'系统研发'，数据驱动的柔性供应链+社媒投放体系，对增长工程与数据工具付费能力强,https://www.36kr.com/p/1381208766741632
深圳盈富斯科技有限公司（PatPat）,PatPat (InterFocus Inc.),跨境电商,独立站DTC（母婴童装）,深圳,数千人（D轮融资6.7亿美元）,4,5,5,3,官方自述'自建数字化系统+大数据AI赋能'，创始团队为Oracle工程师背景，技术文化浓，是开发者工具理想买家,https://www.tanzhi.cn/companies/3ad4961b-e08b-4554-82bb-cd3e51579240/
深圳市智岩科技有限公司（Govee）,"Govee (Shenzhen Intellirocks Tech Co., Ltd.)",跨境电商,品牌出海（智能照明/智能家电，亚马逊+独立站）,深圳,数千人（年营收约40亿元，已启动IPO）,4,5,4,3,安克系创始团队，软硬件一体+独立站App生态，研发与数据团队成建制，对IoT/App/增长类工具需求明确,https://m.chinaventure.com.cn/news/78-20250512-386228.html
深圳市绿联科技股份有限公司,UGREEN Group Limited,跨境电商,品牌出海（3C数码配件，亚马逊+独立站）,深圳,3000+人（2024年营收61.7亿元，研发人员668人）,5,5,4,3,招股书披露研发人员668人并自研NAS操作系统，海外收入占57%，软硬一体+自研OS使其成为高价值开发者工具客户,https://www.chongdiantou.com/archives/357698.html
深圳市德兰明海新能源股份有限公司（BLUETTI铂陆帝）,"Shenzhen Delan Minghai New Energy Co., Ltd. (BLUETTI)",跨境电商,品牌出海（便携/户用储能，独立站+全渠道）,深圳,1000+人（2024年营收21.7亿元，已递表港交所）,4,5,4,,海外收入占比近100%、重DTC独立站与网红营销（年合作1万+网红），营销技术栈与多渠道数据整合工具需求突出,https://news.futunn.com/post/68941943/ipo-news-delan-minghai-submits-listing-application-to-hkex-ranks
深圳市华宝新能源股份有限公司（Jackery电小二）,"Shenzhen Hello Tech Energy Co., Ltd. (Jackery)",跨境电商,品牌出海（便携储能，独立站+第三方平台）,深圳,1000+人（2024年营收36亿元，A股301327）,4,5,4,,95%收入来自海外，运营60多个官网独立站及第三方平台并设美/日/德/澳分支机构，多站点运营与本地化营销工具需求大,https://stock.quote.stockstar.com/corp/brief_301327.shtml
深圳市正浩创新科技股份有限公司（EcoFlow正浩）,EcoFlow Technology Inc.,跨境电商,品牌出海（移动储能，DTC+全渠道）,深圳,1000+人（2022年销售额近10亿美元）,5,5,5,3,大疆系创始团队、海外营收占比95%+，自研App生态与智能调度软件底座（OASIS），对云服务/数据/DevOps工具付费能力强,https://baike.baidu.com/item/%E6%B7%B1%E5%9C%B3%E5%B8%82%E6%AD%A3%E6%B5%A9%E5%88%9B%E6%96%B0%E7%A7%91%E6%8A%80%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8/57148495
安克创新科技股份有限公司,Anker Innovations,制造,消费电子（充电储能/智能安防/音频）,深圳,,5,5,4,4,A+H上市、境外收入占比超94%、研发费用率近9%，拥有数千人研发与自研AIoT/安防云平台，全球化多品牌矩阵对AI辅助研发、代码生成与多语言客服API需求明确。,http://static.cninfo.com.cn/finalpage/2026-08-31/1225533054.PDF
深圳拓竹科技有限公司,Bambu Lab,制造,3D打印,深圳,,5,5,4,3,大疆系创始团队、2025年营收破百亿且超90%销往海外，自研打印机固件+Bambu Studio切片软件+云端生态，软件工程师密度高，是AI编程工具与视觉检测API的高潜客户。,https://www.tmtpost.com/7887893.html
深圳市正浩创新科技股份有限公司,EcoFlow,制造,便携储能/清洁能源,深圳,1000-5000,5,5,4,3,全球员工近2500人、深/西安/苏州三地研发中心、产品销往140+国且在美德日设办公室，App+云能管平台自研，能源管理智能化与全球DevOps协作催生AI开发工具需求。,https://job.xidian.edu.cn/teachin/view/id/126741
深圳元鼎智能创新有限公司,Aiper,制造,泳池清洁机器人,深圳,,4,5,3,3,无线泳池机器人全球市占率超70%、年营收约30亿、进驻欧美7000+门店并获Fluidra近10亿战投，AI导航与水下视觉算法迭代快，需要AI辅助嵌入式/算法开发工具提效。,https://www.chwang.com/news/191021265487
